col_name,dtype,n_missing,missing_rate,is_unique,n_unique,sample_values
agricultureStructureIndicator,bool,0,0.0,False,2,"[np.False_, np.True_]"
asOfDate,str,0,0.0,False,1,['2026-02-11 00:00:00+00:00']
basementEnclosureCrawlspaceType,float64,11138,81.23,False,4,"[np.float64(nan), np.float64(2.0), np.float64(0.0)]"
policyCount,int64,0,0.0,False,4,"[np.int64(1), np.int64(8), np.int64(2)]"
crsClassificationCode,float64,13133,95.78,False,3,"[np.float64(nan), np.float64(7.0), np.float64(8.0)]"
dateOfLoss,str,0,0.0,False,553,"['1996-09-05', '1998-08-26', '1999-09-16']"
elevatedBuildingIndicator,bool,0,0.0,False,2,"[np.False_, np.True_]"
elevationCertificateIndicator,str,11104,80.98,False,8,"[nan, '3', '2']"
elevationDifference,float64,8130,59.29,False,28,"[np.float64(nan), np.float64(3.0), np.float64(-2.0)]"
baseFloodElevation,float64,8081,58.93,False,475,"[np.float64(nan), np.float64(119.5), np.float64(35.0)]"
ratedFloodZone,str,636,4.64,False,26,"['A04', 'A05', 'A10']"
houseWorship,bool,0,0.0,False,2,"[np.False_, np.True_]"
locationOfContents,float64,6453,47.06,False,7,"[np.float64(3.0), np.float64(nan), np.float64(4.0)]"
lowestAdjacentGrade,float64,9154,66.76,False,688,"[np.float64(nan), np.float64(33.0), np.float64(3.3)]"
lowestFloorElevation,float64,8167,59.56,False,826,"[np.float64(nan), np.float64(122.5), np.float64(36.0)]"
numberOfFloorsInTheInsuredBuilding,float64,564,4.11,False,6,"[np.float64(1.0), np.float64(2.0), np.float64(3.0)]"
nonProfitIndicator,bool,0,0.0,False,2,"[np.False_, np.True_]"
obstructionType,float64,2491,18.17,False,14,"[np.float64(10.0), np.float64(50.0), np.float64(nan)]"
occupancyType,int64,0,0.0,False,13,"[np.int64(1), np.int64(4), np.int64(12)]"
originalConstructionDate,str,0,0.0,False,1894,"['1969-07-01', '1974-07-01', '1994-01-01']"
originalNBDate,str,0,0.0,False,5310,"['1992-01-02', '1996-08-26', '1995-11-20']"
amountPaidOnBuildingClaim,float64,1838,13.4,False,10738,"[np.float64(16810.89), np.float64(nan), np.float64(84701.92)]"
amountPaidOnContentsClaim,float64,1838,13.4,False,2919,"[np.float64(5000.0), np.float64(nan), np.float64(0.0)]"
amountPaidOnIncreasedCostOfComplianceClaim,float64,1838,13.4,False,69,"[np.float64(0.0), np.float64(nan), np.float64(15000.0)]"
postFIRMConstructionIndicator,bool,0,0.0,False,2,"[np.False_, np.True_]"
rateMethod,str,7,0.05,False,12,"['1', 'RatingEngine', 'G']"
smallBusinessIndicatorBuilding,bool,0,0.0,False,2,"[np.False_, np.True_]"
totalBuildingInsuranceCoverage,int64,0,0.0,False,1479,"[np.int64(22000), np.int64(193100), np.int64(118500)]"
totalContentsInsuranceCoverage,int64,0,0.0,False,596,"[np.int64(5300), np.int64(52500), np.int64(0)]"
yearOfLoss,int64,0,0.0,False,47,"[np.int64(1996), np.int64(1998), np.int64(1999)]"
primaryResidenceIndicator,bool,0,0.0,False,2,"[np.False_, np.True_]"
buildingDamageAmount,float64,1391,10.14,False,9400,"[np.float64(21092.0), np.float64(4650.0), np.float64(85800.0)]"
buildingDeductibleCode,str,644,4.7,False,13,"['9', '5', '0']"
netBuildingPaymentAmount,float64,0,0.0,False,10734,"[np.float64(16810.89), np.float64(0.0), np.float64(84701.92)]"
buildingPropertyValue,float64,1403,10.23,False,10190,"[np.float64(40680.0), np.float64(448960.0), np.float64(106860.0)]"
causeOfDamage,object,96,0.7,False,15,"['1', '2', '4']"
condominiumCoverageTypeCode,str,257,1.87,False,4,"['N', nan, 'L']"
contentsDamageAmount,float64,9439,68.84,False,3156,"[np.float64(7131.0), np.float64(725.0), np.float64(nan)]"
contentsDeductibleCode,str,2372,17.3,False,12,"['9', '5', '0']"
netContentsPaymentAmount,float64,0,0.0,False,2920,"[np.float64(5000.0), np.float64(0.0), np.float64(16133.03)]"
contentsPropertyValue,float64,9439,68.84,False,628,"[np.float64(0.0), np.float64(nan), np.float64(52000.0)]"
disasterAssistanceCoverageRequired,float64,2726,19.88,False,5,"[np.float64(0.0), np.float64(nan), np.float64(5.0)]"
eventDesignationNumber,str,13684,99.8,False,4,"[nan, 'NC0220', 'NC0222']"
ficoNumber,float64,1266,9.23,False,21,"[np.float64(592.0), np.float64(613.0), np.float64(626.0)]"
floodCharacteristicsIndicator,float64,13225,96.45,False,4,"[np.float64(nan), np.float64(2.0), np.float64(3.0)]"
floodWaterDuration,float64,332,2.42,False,49,"[np.float64(0.0), np.float64(72.0), np.float64(36.0)]"
floodproofedIndicator,bool,0,0.0,False,1,[np.False_]
floodEvent,str,1013,7.39,False,33,"['Hurricane Fran', 'Hurricane Bonnie', 'Hurricane Floyd']"
iccCoverage,float64,1421,10.36,False,3,"[np.float64(15000.0), np.float64(20000.0), np.float64(30000.0)]"
netIccPaymentAmount,float64,0,0.0,False,68,"[np.float64(0.0), np.float64(15000.0), np.float64(30000.0)]"
nfipRatedCommunityNumber,int64,0,0.0,False,66,"[np.int64(370013), np.int64(370015), np.int64(370278)]"
nfipCommunityNumberCurrent,float64,8668,63.21,False,34,"[np.float64(nan), np.float64(370145.0), np.float64(370013.0)]"
nfipCommunityName,str,8620,62.86,False,33,"[nan, 'KINSTON, CITY OF', 'BEAUFORT COUNTY*']"
nonPaymentReasonContents,float64,10032,73.16,False,14,"[np.float64(nan), np.float64(1.0), np.float64(20.0)]"
nonPaymentReasonBuilding,float64,11721,85.48,False,15,"[np.float64(nan), np.float64(1.0), np.float64(97.0)]"
numberOfUnits,float64,6,0.04,False,17,"[np.float64(1.0), np.float64(4.0), np.float64(0.0)]"
buildingReplacementCost,float64,1403,10.23,False,9187,"[np.float64(0.0), np.float64(547512.0), np.float64(113680.0)]"
contentsReplacementCost,float64,9439,68.84,False,29,"[np.float64(0.0), np.float64(nan), np.float64(85000.0)]"
replacementCostBasis,str,200,1.46,False,2,"['A', 'R', nan]"
stateOwnedIndicator,bool,0,0.0,False,2,"[np.False_, np.True_]"
waterDepth,float64,1376,10.04,False,99,"[np.float64(nan), np.float64(28.0), np.float64(8.0)]"
floodZoneCurrent,str,8895,64.87,False,14,"[nan, 'AE', 'AHB']"
buildingDescriptionCode,float64,7549,55.05,False,12,"[np.float64(nan), np.float64(1.0), np.float64(8.0)]"
rentalPropertyIndicator,bool,0,0.0,False,2,"[np.False_, np.True_]"
state,str,0,0.0,False,1,['NC']
reportedCity,str,0,0.0,False,1,['Currently Unavailable']
reportedZipCode,float64,9,0.07,False,70,"[np.float64(27810.0), np.float64(27801.0), np.float64(28501.0)]"
countyCode,int64,0,0.0,False,5,"[np.int64(37013), np.int64(37065), np.int64(37107)]"
censusTract,float64,551,4.02,False,116,"[np.float64(37013930700.0), np.float64(37013930100.0), np.float64(37065020400.0)]"
censusBlockGroupFips,float64,551,4.02,False,285,"[np.float64(370139307001.0), np.float64(370139301005.0), np.float64(370650204004.0)]"
latitude,float64,0,0.0,False,17,"[np.float64(35.5), np.float64(35.9), np.float64(35.3)]"
longitude,float64,0,0.0,False,22,"[np.float64(-76.6), np.float64(-77.8), np.float64(-77.6)]"
id,str,0,0.0,False,13712,"['069b717f-4be7-4a39-b86c-856ed210869c', 'a094b0f5-7e81-4606-916d-e1427026b4e9', 'd8fc0653-9392-49a8-81ba-19f4272df92a']"
